2017-01;4;315.0;238.8985140179821;29.0
2017-02;72;155.23611111111111;12.360401920012118;22.0
2017-03;271;197.40590405904058;9.185722375831615;
2017-04;2;37.5;0.5;3.0
2017-05;16;128.125;38.041301568164045;5.0
2017-06;311;134.07073954983923;6.512831473068904;
2017-07;310;134.33225806451614;5.805338948153471;
2017-08;293;142.50511945392492;6.544931005400626;
2017-09;196;167.7295918367347;8.086788309904847;6.0
2017-10;0;;;31.0
2017-11;208;160.64423076923077;7.948411786772868;10.0
2017-12;132;149.6590909090909;9.120767024267803;16.0
