date,year_month
2017-01-17,2017-01
2017-01-18,2017-01
2017-01-19,2017-01
2017-01-20,2017-01
2017-01-21,2017-01
2017-01-22,2017-01
2017-01-23,2017-01
2017-01-24,2017-01
2017-01-25,2017-01
2017-01-26,2017-01
2017-01-27,2017-01
2017-01-28,2017-01
2017-01-29,2017-01
2017-01-30,2017-01
2017-01-31,2017-01
2017-02-01,2017-02
2017-02-02,2017-02
2017-02-03,2017-02
2017-02-04,2017-02
2017-02-05,2017-02
2017-02-06,2017-02
2017-02-07,2017-02
2017-02-08,2017-02
2017-02-09,2017-02
2017-02-10,2017-02
2017-02-11,2017-02
2017-02-12,2017-02
2017-02-13,2017-02
2017-02-14,2017-02
2017-02-15,2017-02
2017-02-16,2017-02
2017-02-17,2017-02
2017-02-18,2017-02
2017-02-19,2017-02
2017-02-20,2017-02
2017-02-21,2017-02
2017-02-22,2017-02
2017-04-02,2017-04
2017-04-03,2017-04
2017-04-04,2017-04
2017-04-05,2017-04
2017-04-06,2017-04
2017-05-07,2017-05
2017-05-08,2017-05
2017-05-09,2017-05
2017-05-10,2017-05
2017-05-11,2017-05
2017-05-12,2017-05
2017-05-13,2017-05
2017-05-14,2017-05
2017-07-04,2017-07
2017-07-05,2017-07
2017-07-06,2017-07
2017-07-07,2017-07
2017-07-29,2017-07
2017-07-30,2017-07
2017-07-31,2017-07
2017-08-01,2017-08
2017-08-04,2017-08
2017-08-05,2017-08
2017-08-06,2017-08
2017-08-07,2017-08
2017-08-12,2017-08
2017-08-13,2017-08
2017-08-14,2017-08
2017-08-15,2017-08
2017-08-16,2017-08
2017-08-17,2017-08
2017-08-18,2017-08
2017-08-19,2017-08
2017-08-20,2017-08
2017-09-02,2017-09
2017-09-03,2017-09
2017-09-04,2017-09
2017-09-05,2017-09
2017-09-06,2017-09
2017-09-07,2017-09
2017-09-08,2017-09
2017-09-09,2017-09
2017-09-10,2017-09
2017-09-11,2017-09
2017-09-12,2017-09
2017-09-13,2017-09
2017-09-14,2017-09
2017-09-15,2017-09
2017-09-16,2017-09
2017-09-17,2017-09
2017-09-18,2017-09
2017-09-19,2017-09
2017-09-20,2017-09
2017-09-22,2017-09
2017-09-23,2017-09
2017-09-24,2017-09
2017-09-25,2017-09
2017-09-26,2017-09
2017-09-27,2017-09
2017-09-28,2017-09
2017-09-29,2017-09
2017-09-30,2017-09
2017-10-01,2017-10
2017-10-02,2017-10
2017-10-03,2017-10
2017-10-04,2017-10
2017-10-05,2017-10
2017-10-06,2017-10
2017-10-07,2017-10
2017-10-08,2017-10
2017-10-09,2017-10
2017-10-10,2017-10
2017-10-11,2017-10
2017-10-12,2017-10
2017-10-13,2017-10
2017-10-14,2017-10
2017-10-15,2017-10
2017-10-16,2017-10
2017-10-17,2017-10
2017-10-18,2017-10
2017-10-19,2017-10
2017-10-20,2017-10
2017-10-21,2017-10
2017-10-22,2017-10
2017-10-23,2017-10
2017-10-24,2017-10
2017-10-25,2017-10
2017-10-26,2017-10
2017-10-27,2017-10
2017-10-28,2017-10
2017-10-29,2017-10
2017-10-30,2017-10
2017-10-31,2017-10
2017-11-01,2017-11
2017-11-02,2017-11
2017-11-03,2017-11
2017-11-04,2017-11
2017-11-05,2017-11
2017-11-06,2017-11
2017-11-07,2017-11
2017-11-08,2017-11
2017-11-09,2017-11
2017-11-10,2017-11
2017-11-11,2017-11
2017-11-12,2017-11
2017-11-15,2017-11
2017-11-16,2017-11
2017-11-17,2017-11
2017-12-07,2017-12
2017-12-08,2017-12
2017-12-14,2017-12
